55.47,0.42108,8.9281,0.94717,3.1061,0.63429,2.4718,1.2803,147.34,1
64.209,0.34507,9.0918,0.93112,2.7007,0.63408,2.4714,1.2814,158.76,1
67.912,0.2929,6.9448,0.90346,2.3298,0.61953,2.5932,1.2792,155.48,1
70.535,0.1256,6.5036,0.97484,2.1279,0.64973,2.3461,1.2856,155.07,1
62.877,0.27626,6.0614,1.1514,2.2654,0.61533,2.6289,1.2791,144.77,1
66.046,0.32231,4.8621,0.78332,2.1986,0.66444,2.2518,1.2808,152.26,1
62.497,0.32616,6.7631,1.0017,2.1508,0.6453,2.3779,1.2859,145.78,1
62.318,0.35072,8.5866,0.98275,2.5703,0.63319,2.48,1.2805,158.82,1
78.272,0.13026,5.2323,0.84833,2.2687,0.65023,2.3199,1.2981,179.56,1
68.36,0.36475,8.8745,1.2439,2.047,0.64449,2.3888,1.2832,167.55,1
66.567,0.36427,7.7326,1.0876,2.2833,0.64242,2.3957,1.2878,166.58,1
74.196,0.14263,5.9554,0.96636,2.0419,0.6402,2.406,1.2912,164.13,1
65.008,0.23807,7.7025,0.91375,2.2687,0.62956,2.5029,1.2835,159.96,1
61.8,0.225,6.6727,0.89121,2.4423,0.62801,2.5115,1.2854,165.38,1
69.128,0.19506,5.901,1.0348,1.9998,0.62524,2.5322,1.2862,162.66,1
75.379,0.31509,6.5298,0.97729,2.1483,0.65055,2.3398,1.2858,172.66,1
73.192,0.24621,4.1186,0.71974,2.2193,0.65288,2.3165,1.2895,179.21,1
80.421,0.049027,6.8174,0.95413,2.6186,0.6224,2.4818,1.3244,177.16,1
55.931,0.32433,9.552,1.0414,2.2165,0.62845,2.5161,1.2813,140.38,1
63.423,0.33273,9.6235,1.2549,2.4024,0.64167,2.4168,1.2795,145.09,1
71.329,0.2662,5.9008,0.91067,2.5764,0.63427,2.4704,1.2812,169.16,1
71.297,0.13372,5.6932,1.1356,2.077,0.62757,2.4923,1.2971,158.22,1
61.008,0.42066,7.4121,0.71621,2.7718,0.61961,2.5848,1.2831,161.57,1
66.658,0.38507,8.1539,1.0664,2.5207,0.63444,2.4631,1.2843,164.99,1
76.9,0.2587,6.7969,1.0097,1.951,0.64317,2.3954,1.2849,168.06,1
75.088,0.33059,6.9891,0.96855,2.2609,0.63384,2.4691,1.2835,186.4,1
67.311,0.18733,6.6311,1.2672,2.0223,0.63339,2.4576,1.2914,151.54,1
73.884,0.089224,8.2483,1.1225,2.2586,0.62048,2.5456,1.2991,181.76,1
75.669,0.089938,8.7609,1.4228,2.0674,0.64176,2.3871,1.2951,166.96,1
70.83,0.2072,8.3731,1.1927,2.4763,0.6251,2.5422,1.2817,159.23,1
61.291,0.026018,5.4009,0.87575,8.0611,0.41319,3.6725,2.0307,132.7,2
64.642,0.0085074,3.7054,0.20984,5.2166,0.35141,3.1395,3.2841,131.27,2
72.222,0.029818,4.5739,0.33992,4.1678,0.71943,1.5465,1.5907,144.53,2
61.566,0.011712,3.771,0.0026056,4.9745,0.50604,1.9209,2.5884,137.08,2
71.592,0.024059,4.6408,0.58406,4.958,0.42918,2.9405,2.3508,139.97,2
72.239,0.0060106,3.9312,0.53928,2.3694,0.71744,1.4156,1.7474,150.67,2
66.748,0.014711,5.8241,0.70072,7.7534,0.51334,1.8936,2.5516,144.02,2
64.729,0.0069616,4.7622,0.6765,3.7787,0.66774,1.5014,1.9019,130.72,2
67.568,0.010143,5.0209,0.43523,4.2068,0.50245,1.9924,2.5313,142.55,2
75.399,0.0073044,4.5324,-0.030127,3.0068,0.7512,1.3679,1.6495,158.25,2
