2.4718,0.63429,1.2803,0.42108,4.8414,2.1863,55.47,147.34,25.307,1.837,0.94717,0.23297,8.9281,4.2326,2.9089,3.1061,1
2.4714,0.63408,1.2814,0.34507,5.3481,2.4142,64.209,158.76,27.432,1.8789,0.93112,-0.067753,9.0918,4.3234,2.9353,2.7007,1
2.5932,0.61953,1.2792,0.2929,5.8049,2.5954,67.912,155.48,37.066,1.5505,0.90346,-0.56877,6.9448,3.6549,3.4835,2.3298,1
2.3461,0.64973,1.2856,0.1256,8.8645,4.0383,70.535,155.07,43.297,1.5684,0.97484,-0.45543,6.5036,3.7342,3.0703,2.1279,1
2.6289,0.61533,1.2791,0.27626,5.9771,2.6644,62.877,144.77,39.083,1.241,1.1514,-0.21148,6.0614,5.0123,2.7128,2.2654,1
2.2518,0.66444,1.2808,0.32231,5.5337,2.5461,66.046,152.26,39.566,0.93934,0.78332,-0.26121,4.8621,3.9729,2.6326,2.1986,1
2.3779,0.6453,1.2859,0.32616,5.5009,2.4989,62.497,145.78,36.699,1.3712,1.0017,-0.31569,6.7631,4.6629,2.9584,2.1508,1
2.48,0.63319,1.2805,0.35072,5.3048,2.3937,62.318,158.82,33.024,1.6937,0.98275,-0.36549,8.5866,4.4025,2.625,2.5703,1
2.3199,0.65023,1.2981,0.13026,8.7046,3.9551,78.272,179.56,36.594,1.1668,0.84833,-0.356,5.2323,3.6849,3.0495,2.2687,1
2.3888,0.64449,1.2832,0.36475,5.2018,2.3632,68.36,167.55,32.352,1.8131,1.2439,0.057415,8.8745,5.889,2.79,2.047,1
2.3957,0.64242,1.2878,0.36427,5.2052,2.3592,66.567,166.58,28.896,1.6187,1.0876,0.13223,7.7326,4.741,2.7809,2.2833,1
2.406,0.6402,1.2912,0.14263,8.3186,3.762,74.196,164.13,37.537,1.4145,0.96636,-0.48826,5.9554,4.1391,3.011,2.0419,1
2.5029,0.62956,1.2835,0.23807,6.4387,2.8964,65.008,159.96,27.307,1.6869,0.91375,0.075492,7.7025,4.5519,2.5467,2.2687,1
2.5115,0.62801,1.2854,0.225,6.6231,2.9749,61.8,165.38,29.684,1.5155,0.89121,-0.050674,6.6727,3.7119,2.6168,2.4423,1
2.5322,0.62524,1.2862,0.19506,7.1132,3.1883,69.128,162.66,37.619,1.394,1.0348,-0.61359,5.901,4.0031,3.2423,1.9998,1
2.3398,0.65055,1.2858,0.31509,5.5967,2.5508,75.379,172.66,32.9,1.4928,0.97729,-0.44529,6.5298,4.4629,2.9109,2.1483,1
2.3165,0.65288,1.2895,0.24621,6.3314,2.8872,73.192,179.21,31.119,0.9186,0.71974,-0.29964,4.1186,3.4006,2.6656,2.2193,1
2.4818,0.6224,1.3244,0.049027,14.188,6.2945,80.421,177.16,45.259,1.5825,0.95413,-0.61716,6.8174,4.0704,3.2069,2.6186,1
2.5161,0.62845,1.2813,0.32433,5.5164,2.4808,55.931,140.38,32.635,2.0336,1.0414,-0.17118,9.552,3.9734,3.0812,2.2165,1
